Tag,WindowStart,WindowEnd,Split,MSE,SignAcc,Pearson,IC,IR,CR,Prec@K
ws8hd16,2019-01-04,2019-11-04,Train,3.441402628337057e-05,0.828125,0.8934129382081826,0.8493917051154797,1.2330864678823343,1.7394525724826213,0.8708333333333332
ws8hd16,2019-01-04,2019-11-04,Test,0.00024760997298871155,0.4888888888888889,0.019297567013485756,0.04831827406075664,0.10415851606645146,0.03267871905158779,0.5092592592592591
ws8hd16,2019-03-04,2020-01-04,Train,2.4512855967076263e-05,0.8518292682926829,0.9266180678022264,0.886143776154934,1.2198062005473211,1.7625398804120294,0.8739837398373983
ws8hd16,2019-03-04,2020-01-04,Test,0.00017927193029835387,0.5176470588235295,-0.03658930372333201,0.021939330840944585,0.0398783402320911,0.009983444380359028,0.5
ws8hd16,2019-05-04,2020-03-04,Train,3.7923852050104276e-05,0.801863354037267,0.8773199925443979,0.8209154638730602,1.1889334787090124,1.6181253575260002,0.8281573498964803
ws8hd16,2019-05-04,2020-03-04,Test,0.0002466904610310422,0.5333333333333333,0.11344545716319421,0.15113270094307568,0.29503492255944036,0.11084849076126237,0.6161616161616161
ws8hd16,2019-07-04,2020-05-04,Train,5.916839312933311e-05,0.76375,0.794789014516858,0.7273667160794548,0.9692806251333099,1.4539049845259462,0.79375
ws8hd16,2019-07-04,2020-05-04,Test,0.0006035339021487041,0.45714285714285713,-0.10708652581742767,-0.12087314562562029,0.13398258129921253,0.07950526571182191,0.5428571428571427
ws8hd16,2019-09-04,2020-07-04,Train,6.645119284885808e-05,0.7625,0.8468368844743759,0.7689870949621012,0.9412201178320319,1.8140748324666618,0.80625
ws8hd16,2019-09-04,2020-07-04,Test,0.00032645958575333145,0.4942857142857143,0.0621479180650639,0.03521619418467556,-0.09727882930783432,-0.041010965616251664,0.4666666666666666
ws8hd16,2019-11-04,2020-09-04,Train,0.00011126308582430342,0.7339622641509433,0.7538190711785125,0.6801816224635262,0.8513137250198666,1.7107095337596472,0.769392033542977
ws8hd16,2019-11-04,2020-09-04,Test,0.0003310179425508702,0.4891891891891892,-0.05750875524842287,-0.021647565583177045,-0.14502493738050007,-0.07177749727694098,0.40540540540540543
ws8hd16,2020-01-04,2020-11-04,Train,4.573668310865157e-05,0.854320987654321,0.9186729857814916,0.894517429302954,1.1883650411606612,2.304092545163142,0.8621399176954734
ws8hd16,2020-01-04,2020-11-04,Test,0.0003036713563685954,0.5542857142857143,0.02972943114496039,0.06707700721490165,0.04179589218818401,0.016971101880289573,0.5047619047619047
ws8hd16,2020-03-04,2021-01-04,Train,4.296518753675494e-05,0.8554878048780488,0.921465522640371,0.9008542425968878,1.269143379378538,2.386357957180838,0.8780487804878049
ws8hd16,2020-03-04,2021-01-04,Test,0.0002649554587971592,0.46060606060606063,-0.013650387709799018,-0.03591852299491226,0.0363865113042567,0.009961900176875146,0.45454545454545453
ws8hd16,2020-05-04,2021-03-04,Train,3.7562827077288e-05,0.8506172839506173,0.917731482461398,0.8996956767035692,1.343416484884319,2.11565855275796,0.8621399176954734
ws8hd16,2020-05-04,2021-03-04,Test,0.00042531632025127067,0.4647058823529412,-0.08638530662202089,-0.10359768021604096,-0.06417245224464009,-0.030622026853212282,0.4215686274509804
ws8hd16,2020-07-04,2021-05-04,Train,3.871321102850576e-05,0.846875,0.9172278486840182,0.8921618912326654,1.3004136849050376,2.1453967747401164,0.8604166666666666
ws8hd16,2020-07-04,2021-05-04,Test,0.0002560258823811525,0.5828571428571429,0.08966616371595573,0.11318842252939673,0.03385327761886404,0.011517110543394996,0.5904761904761904
ws8hd16,2020-09-04,2021-07-04,Train,5.5152637926732146e-05,0.8170886075949367,0.878477068430205,0.8431249651517025,1.1516071421630354,1.8659036963262934,0.8270042194092828
ws8hd16,2020-09-04,2021-07-04,Test,0.0003221902108922488,0.4228571428571429,-0.10319334069297126,-0.07290056012119049,-0.1445042102402957,-0.031067354835969292,0.4666666666666666
ws8hd16,2020-11-04,2021-09-04,Train,3.586745142073379e-05,0.8518987341772152,0.9153782711539903,0.8964392897987097,1.3069775495752856,1.967279318636516,0.8544303797468354
ws8hd16,2020-11-04,2021-09-04,Test,0.00022454020613496577,0.45555555555555555,-0.14817764450433474,-0.16293309876362214,0.0815479703131501,0.021573900261935057,0.5185185185185185
ws8hd16,2021-01-04,2021-11-04,Train,0.0001808466971047197,0.5722222222222222,0.28871121312717385,0.23904479592773417,0.3872257867640384,0.5776905346334787,0.5740740740740741
ws8hd16,2021-01-04,2021-11-04,Test,0.00014795554293439518,0.5314285714285715,-0.002549043531790085,-0.01098369316134359,-0.07213822627719889,-0.02370720167158709,0.5047619047619047
ws8hd16,2021-03-04,2022-01-04,Train,5.2698342852741595e-05,0.7963414634146342,0.8110641976955073,0.7845295846341297,1.2556397388728024,1.4701235760966787,0.8089430894308942
ws8hd16,2021-03-04,2022-01-04,Test,0.0004234258352451655,0.4117647058823529,-0.1938213162330797,-0.20315059520861783,-0.3484921521428836,-0.1656754893046743,0.3431372549019608
ws8hd16,2021-05-04,2022-03-04,Train,3.903815635480986e-05,0.8067484662576687,0.8834676139299611,0.8364890999493106,1.3283104557265755,1.7089292392407707,0.8384458077709612
ws8hd16,2021-05-04,2022-03-04,Test,0.0005680336453203679,0.4823529411764706,-0.05664277262016108,-0.043876375167837565,-0.12811236972745113,-0.04322194019205483,0.4313725490196078
ws8hd16,2021-07-04,2022-05-04,Train,5.4020613214472074e-05,0.8080745341614907,0.8749051799441396,0.8244616275487577,1.1191665965342095,1.7637547856958982,0.8012422360248447
